# Model,Publication
icompstar_2_subst_11_m1_1.6_aIn_5.0_eIn_0.0_m2_0.4_racc2_0.04_a_35.0_e_0.4_incl_0.0_gamma_1.2_m3_0.6_racc3_0.04_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_0.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
icompstar_2_subst_11_m1_1.6_aIn_5.0_eIn_0.0_m2_0.4_racc2_0.04_a_35.0_e_0.4_incl_0.0_gamma_1.2_m3_0.6_racc3_0.04_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_1.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
icompstar_2_subst_11_m1_1.6_aIn_5.0_eIn_0.0_m2_0.4_racc2_0.04_a_35.0_e_0.5_incl_0.0_gamma_1.2_m3_0.6_racc3_0.04_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_0.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
icompstar_2_subst_11_m1_1.6_aIn_5.0_eIn_0.4_m2_0.4_racc2_0.04_a_35.0_e_0.0_incl_0.0_gamma_1.2_m3_0.6_racc3_0.04_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_0.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
icompstar_2_subst_11_m1_1.6_aIn_5.0_eIn_0.5_m2_0.4_racc2_0.04_a_35.0_e_0.0_incl_0.0_gamma_1.2_m3_0.6_racc3_0.04_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_0.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
icompstar_2_subst_11_m1_1.6_aIn_5.0_eIn_0.0_m2_0.4_racc2_0.04_a_35.0_e_0.0_incl_0.0_gamma_1.2_m3_1.2_racc3_0.04_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_0.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
m1_2.0_icompstar_1_m2_0.6_racc2_0.04_a_35.0_e_0.0_gamma_1.2_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_1.0_f_acc_0.8_vw_8.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
m1_2.0_icompstar_1_m2_0.6_racc2_0.04_a_35.0_e_0.0_gamma_1.2_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_0.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
m1_2.0_icompstar_1_m2_0.6_racc2_0.04_a_35.0_e_0.4_gamma_1.2_eos_2_mu_2.38_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_1.0_f_acc_0.8_vw_15.0_Rinj_1.2_mlr_1.1e-06_Tw_3000.0_iwr_4_wss_1.0_bound_1500.0,Malfait+2024 (10.1051/0004-6361/202450844)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_0.6_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.25_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_0.6_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.5_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_0.6_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.5_gamma_1.1_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_0.6_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-06_Tw_1500.0_iwr_5_wss_0.65_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.25_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-06_Tw_1500.0_iwr_5_wss_0.65_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.5_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-06_Tw_1500.0_iwr_5_wss_0.65_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.5_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.25_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.5_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_1.0_racc2_0.05_a_6.0_e_0.5_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.5_bound_200.0,Malfait+2021 (10.1051/0004-6361/202141161)
m1_1.5_icompstar_1_m2_0.13_racc2_0.00912_a_4.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_7_wss_0.2_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00465_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_5_wss_1.0_bound_300.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000465_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_5_wss_1.0_bound_300.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_4.65e-05_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_6_wss_1.0_bound_300.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_4.65e-05_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_1.0_bound_300.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_4.65e-05_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_8_wss_1.0_bound_300.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00465_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_1.0_bound_300.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_6_wss_1.0_bound_400.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_1.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_vw_35.0_Rinj_1.7_mlr_1e-08_Tw_3000.0_iwr_0_wss_1.0_bound_10.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_4.56e-05_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_8_wss_1.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_8_wss_1.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_1.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_5_wss_1.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_1.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_7_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_8_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_7_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_6_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.0465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_6_wss_3.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.0465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_7.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_7_wss_2.0_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.65_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_8_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.0465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_7_wss_1.15_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_7_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.2_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.15_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.25_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.25_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.15_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_4_wss_0.19_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.0465_a_9.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.4_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.055_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_2.5_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_4_wss_0.11_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_4.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.17_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_0.01_racc2_0.000912_a_4.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.3_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_4.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.18_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_4.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.09_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.00456_a_4.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_1.0_bound_150.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_1_m2_1.0_racc2_0.25_a_3.5_e_0.0_gamma_1.3_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_5e-06_Tw_1500.0_iwr_8_wss_1.0_bound_100.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_5e-05_Tw_1500.0_iwr_4_wss_0.5_bound_200.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.5_bound_250.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.0_icompstar_1_m2_0.001_racc2_0.000912_a_5.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_0.5_bound_200.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.0_icompstar_1_m2_0.001_racc2_0.000912_a_5.0_e_0.0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_5_wss_0.5_bound_200.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_1.5_icompstar_0_gamma_1.2_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_5.0_Rinj_1.3_mlr_1e-07_Tw_1500.0_iwr_6_wss_0.6_bound_200.0,Maes+2021 (10.1051/0004-6361/202140823)
m1_7.0_icompstar_1_m2_1.0_racc2_0.25_a_20.0_e_0.0_gamma_1.66667_eos_2_mu_2.381_icooling_0_f_acc_0.8_vw_23.0_Rinj_1.3_mlr_1e-05_Tw_1500.0_iwr_4_wss_1.0_bound_200.0,Maes+2021 (10.1051/0004-6361/202140823)
